92,58,63.75,37,26,68,75,38,49
78,30,44.375,42,36,60,51,42,47
87,81,48.75,28,22,68,43,28,41
87,41,66.25,42,31,66,45,60,63
87,60,56.25,26,44,68,68,29,35
91,41,71.25,42,59,64,50,45,48
78,48,56.25,23,25,56,42,73,49
90,41,58.75,32,25,68,46,69,53
87,67,54.375,42,30,52,44,36,26
83,48,56.25,33,25,54,50,66,57
99,34,44.375,28,14,56,42,72,52
93,53,56.25,50,28,70,46,42,48
90,68,51.875,32,30,52,62,41,60
87,38,48.75,54,52,64,47,50,47
96,55,65.5,52,51,68,62,53,43
86,50,78.75,32,14,42,45,47,39
88,42,48.125,44,39,52,48,20,42
92,63,60.625,21,30,66,39,27,40
91,94,54.375,26,39,70,51,44,48
92,61,59.375,36,29,54,36,35,25
94,44,70.625,36,29,60,40,67,55
88,37,43.75,44,27,68,48,67,49
77,35,53.125,36,21,60,62,40,47
